final_field,late_signed_magnetization,late_absolute_magnetization,minimum_magnetization,maximum_magnetization
0.1,0.9899370303496378,0.9899370303496378,0.9797958998654062,1.0
0.12000000000000001,0.985640389503504,0.985640389503504,0.9707728884898208,1.0
0.14,0.980384764364697,0.980384764364697,0.9600000002428472,1.0
0.16,0.9736919293014841,0.9736919293014841,0.9474175489500369,1.0
0.18,0.9656260622941109,0.9656260622941109,0.9329523084388055,1.0
0.2,0.9573203158624259,0.9573203158624259,0.9165151389905004,1.0
0.22,0.9484967557598342,0.9484967557598342,0.8979977729760814,1.0
0.24000000000000002,0.9374048476556812,0.9374048476556812,0.8772684910140599,1.0
0.26,0.9267407415382289,0.9267407415382289,0.8541662608449919,1.0
0.28,0.9119685582433036,0.9119685582433036,0.8284926103994247,1.0
0.30000000000000004,0.8956526139705645,0.8956526139705645,0.8000000058047504,1.0
0.32,0.8821520820334534,0.8821520820334534,0.7683749149022567,1.0
0.33999999999999997,0.8617799889966754,0.8617799889966754,0.7332121243465112,1.0
0.36,0.8371151186045204,0.8371151186045204,0.693989374652077,1.0
0.38,0.8160020276953883,0.8160020276953883,0.6499230871925289,1.0
0.4,0.7877200465893095,0.7877200465893095,0.6000000042025992,1.0
0.42000000000000004,0.7516076046697504,0.7516076046697504,0.5425863996574977,1.0
0.44000000000000006,0.7118441156695654,0.7118441156695654,0.47497368791963274,1.0
0.45999999999999996,0.6650073852237103,0.6650073852237103,0.39191836604380165,1.0
0.48,0.5742316543876338,0.5742316543876338,0.28000000021770455,1.0
0.5,-0.08303166710714911,0.08303166710714911,-0.9999881298630384,1.0
0.52,0.012063330524736843,0.5049466731174821,-0.9999999663960025,1.0
0.54,0.057351623429046296,0.5317004668825243,-0.9999999995840234,1.0
0.56,0.004418019050721434,0.5474027026806241,-0.9999997909791354,1.0
0.58,-0.022516350291319487,0.5576906850193982,-0.9999999261158073,1.0
0.6,0.021839620524691288,0.5692270370571667,-0.9999999232837,1.0
0.62,-0.01372481119654036,0.5766041347403439,-0.9999998280693844,1.0
0.64,0.04239822923152998,0.5839814897145441,-0.9999998830546475,1.0
0.66,-0.0016440316775455544,0.5982436153494483,-0.999999939295134,1.0
0.6799999999999999,0.018339749545578238,0.5965971322130557,-0.9999998685812208,1.0
0.7,-0.03907025546717534,0.597035447533466,-0.9999999796105762,1.0
0.72,0.010348275758514876,0.6037705259333264,-0.9999994269055661,1.0
0.74,-0.002107090506313325,0.5969391243226178,-0.9999982491649178,1.0
0.76,0.02617875739207881,0.6058140713929038,-0.9999999837757979,1.0
0.78,-0.02570942512207728,0.6005409657516296,-0.9999996707422638,1.0
0.8,-0.003345461492867255,0.6109626124423775,-0.9999999951949106,1.0
0.82,0.016219243146296608,0.6089833020143217,-0.9999999821750446,1.0
0.84,-0.00345399291813398,0.6173315239546628,-0.9999999783250013,1.0
0.86,-0.0030610411480699483,0.6173963527602055,-0.9999999350859693,1.0
0.88,-0.011939678448194907,0.6162345999607031,-0.9999998829249404,1.0
0.9,0.027555202323192574,0.617600628666616,-0.9998748061582556,1.0
0.92,-0.020426804428437306,0.6116340769609471,-0.9999999998188771,1.0
0.94,-0.002667717044024867,0.6196132670642729,-0.999999907093725,1.0
0.96,0.016430360382329028,0.6194314117103611,-0.9999987687249252,1.0
0.98,-0.011678334088820385,0.622350541298798,-0.9999999021399978,1.0
1.0,0.0014211426989285624,0.6258485820474385,-0.9999998724786352,1.0
