n_sites,block_length,competitor,physical_crossing,support_crossing,critical_time_shift,delta_support_rate_at_physical,delta_sign_cost_at_physical,delta_physical_rate_at_physical,sign_cost_initial_at_physical,sign_cost_competing_at_physical,surviving_fraction_initial_at_physical,surviving_fraction_competing_at_physical
50,4,1,0.598655087373208,0.521758713891819,0.076896373481389,0.0571222357961948,-0.0571222357961948,0.0,0.013042640588497578,0.07016487638469238,0.949166960884573,0.7552854622191421
50,4,1+2,0.533060614868589,0.3778337441962952,0.15522687067229385,0.1816456754231221,-0.18164567542312188,2.220446049250313e-16,0.0,0.18164567542312188,1.0,0.4835586339235844
50,5,1,0.6023407518949733,0.5190641961067699,0.08327655578820337,0.04968403588299397,-0.04968403588299388,1.1102230246251565e-16,0.025700752790817204,0.07538478867381108,0.8794102523523737,0.6859682443456403
50,5,1+2,0.5479591680336012,0.39525538334119553,0.1527037846924057,0.1636415230248428,-0.16364152302484286,-1.1102230246251565e-16,0.0004472240857087861,0.16408874711055166,0.9977663778262618,0.4402362626766915
50,6,1,0.6067224216473254,0.5174204756181674,0.08930194602915797,0.04954578812088439,-0.04954578812088435,0.0,0.029016321899921465,0.07856211002080582,0.840214610236551,0.6241449411351071
50,6,1+2,0.5589606265226736,0.40852954712403344,0.1504310793986402,0.14989688000979223,-0.14989688000979226,-1.1102230246251565e-16,0.0009324554990287984,0.15082933550882105,0.9944208883784185,0.40455158894418813
50,7,1,0.6089592708634483,0.5162832253132493,0.09267604555019893,0.048712403707886764,-0.04871240370788676,0.0,0.03302161960511033,0.08173402331299709,0.7936193527875625,0.5643175448202443
50,7,1+2,0.5668840370026266,0.4184585557732742,0.1484254812293524,0.14012782556171366,-0.14012782556171358,0.0,0.002584792234400065,0.14271261779611363,0.9820691597723663,0.3682518040856953
50,8,1,0.6110948045951837,0.5154600131417661,0.09563479145341758,0.04854662358485495,-0.04854662358485495,0.0,0.0351674675163367,0.08371409110119166,0.754771865623853,0.511855598035185
50,8,1+2,0.5733035835277343,0.4277666790746581,0.14553690445307615,0.13256489076061584,-0.13256489076061584,0.0,0.003917894844031711,0.13648278560464755,0.9691429461232176,0.3355909454837675
50,9,1,0.6126628547553763,0.5148532695511314,0.09780958520424488,0.04822760763241407,-0.0482276076324142,-1.1102230246251565e-16,0.03723332528640327,0.08546093291881747,0.7152666079217973,0.463407539910441
50,9,1+2,0.5786130117858109,0.4350757047944382,0.14353730699137274,0.12691427801246968,-0.12691427801246963,0.0,0.005258817670540594,0.13217309568301022,0.9537732120286906,0.30435580184742717
100,4,1,0.5986550874331178,0.521758713909896,0.07689637352322176,0.05712223556148843,-0.057122235561488544,-1.1102230246251565e-16,0.013042640833077712,0.07016487639456626,0.9491669599559837,0.7552854621893117
100,4,1+2,0.5330606149874567,0.3778337442128712,0.15522687077458552,0.18164567550263233,-0.18164567550263222,1.1102230246251565e-16,0.0,0.18164567550263222,1.0,0.4835586337697928
100,5,1,0.6023407518949707,0.5190641961067695,0.08327655578820126,0.04968403588299575,-0.049684035882995664,0.0,0.025700752790814452,0.07538478867381011,0.8794102523523859,0.6859682443456437
100,5,1+2,0.5479591680336008,0.3952553833411953,0.15270378469240548,0.1636415230248428,-0.16364152302484297,-1.1102230246251565e-16,0.00044722408570869733,0.16408874711055166,0.997766377826262,0.4402362626766916
100,6,1,0.6067224217285285,0.5174204755735823,0.08930194615494624,0.049545788296651905,-0.049545788296651905,0.0,0.029016321866209022,0.07856211016286092,0.8402146104065055,0.6241449406031289
100,6,1+2,0.5589606265036271,0.40852954720418244,0.15043107929944466,0.14989688000226414,-0.14989688000226403,1.1102230246251565e-16,0.0009324554831694106,0.15082933548543345,0.9944208884730438,0.404551589000957
100,7,1,0.6089592708634457,0.5162832253132504,0.09267604555019526,0.04871240370788854,-0.04871240370788855,0.0,0.033021619605106266,0.08173402331299481,0.7936193527875849,0.5643175448202534
100,7,1+2,0.5668840370026262,0.41845855577327384,0.1484254812293524,0.14012782556171277,-0.14012782556171283,0.0,0.002584792234400446,0.14271261779611327,0.982069159772364,0.36825180408569624
100,8,1,0.6110948043873098,0.5154600133950408,0.09563479099226901,0.04854662344103555,-0.04854662344103544,1.1102230246251565e-16,0.035167467479945036,0.08371409092098048,0.754771865843592,0.511855598773122
100,8,1+2,0.573303583522986,0.4277666789979477,0.14553690452503837,0.1325648905750112,-0.1325648905750112,0.0,0.003917894828709856,0.13648278540372105,0.9691429462420109,0.33559094602320044
100,9,1,0.6126628547553756,0.5148532695511295,0.0978095852042461,0.048227607632414515,-0.0482276076324145,0.0,0.03723332528640169,0.0854609329188162,0.7152666079218076,0.46340753991044636
100,9,1+2,0.5786130117858094,0.4350757047944372,0.14353730699137218,0.1269142780124688,-0.12691427801246877,0.0,0.00525881767054316,0.13217309568301192,0.9537732120286686,0.3043558018474223
