n_sites,block_length,physical_crossing,support_crossing,critical_time_shift,delta_support_rate_at_physical,delta_sign_cost_at_physical,sign_cost_initial_at_physical,sign_cost_competing_at_physical,surviving_fraction_initial_at_physical,surviving_fraction_competing_at_physical
50,4,0.5332652481360551,0.3777644827167236,0.15550076541933155,0.18195087654122674,-0.18195087654122663,0.0,0.18195087654122663,1.0,0.48471230216410005
50,5,0.5482152198912154,0.3950994636418857,0.15311575624932966,0.16400407949442422,-0.1640040794944243,0.00048567274048764487,0.16448975223491194,0.9975788002528121,0.44128237209656973
50,6,0.5590242072300594,0.4082881789412592,0.15073602828880023,0.14997809766253825,-0.1499780976625383,0.0009400883509418916,0.1509181860134802,0.9943761525143064,0.40478125915236113
50,7,0.5672163464344285,0.4183808365798852,0.14883550985454336,0.1404093828363424,-0.1404093828363424,0.0027565677352717703,0.1431659505716142,0.9810146226624947,0.3693818932563942
50,8,0.5736730958856778,0.42748129041451094,0.1461918054711669,0.13286463679308153,-0.1328646367930814,0.004100594609754656,0.13696523140283606,0.9678710658746273,0.3366685481673205
50,9,0.5787297214331552,0.43483250022284176,0.1438972212103134,0.12700441150208994,-0.12700441150209,0.005317710408367295,0.13232212191045728,0.953319255849604,0.3046507399623374
100,4,0.5332652482535705,0.37776448273376245,0.15550076551980802,0.18195087661865206,-0.1819508766186519,0.0,0.1819508766186519,1.0,0.48471230200199983
100,5,0.5482152198912148,0.39509946364188553,0.15311575624932927,0.16400407949442417,-0.16400407949442425,0.00048567274048772087,0.16448975223491197,0.9975788002528118,0.4412823720965696
100,6,0.559024207211761,0.4082881790210155,0.15073602819074555,0.14997809765619013,-0.14997809765619013,0.0009400883350907924,0.1509181859912809,0.9943761526088689,0.4047812592122675
100,7,0.5672163464344283,0.41838083657988484,0.14883550985454347,0.14040938283634186,-0.14040938283634177,0.002756567735271457,0.14316595057161324,0.9810146226624968,0.36938189325639664
100,8,0.5736730958798004,0.4274812903395721,0.14619180554022831,0.13286463661002335,-0.13286463661002337,0.004100594594740227,0.1369652312047636,0.9678710659904212,0.3366685487124947
100,9,0.5787297214331545,0.4348325002228409,0.14389722121031356,0.1270044115020904,-0.12700441150209035,0.005317710408367277,0.13232212191045764,0.9533192558496042,0.30465073996233666
