branch,block_length,probability,unsigned_weight,negative_mass,physical_rate,support_rate,sign_cost,surviving_fraction,minimum_wigner,maximum_wigner,time,n_sites,block_start,cumulative_discarded_weight,maximum_bond,identity_A_minus_P_minus_2nu,identity_r_minus_s_minus_q
initial,4,0.1852596053019543,0.1852596053019543,0.0,0.42149929141681164,0.42149929141681164,0.0,1.0,0.0008087105076431821,0.012122120132033279,0.34,50,23,2.593012930882267e-16,14,0.0,0.0
branch1,4,0.0026343364203353266,0.0632945616631677,0.030330112621416182,1.4847809903984643,0.6899889668042082,0.7947920235942563,0.041620264855523864,-0.0013642830393524406,0.0017784738735483663,0.34,50,23,2.593012930882267e-16,14,1.3877787807814457e-17,-1.1102230246251565e-16
branch2,4,0.0026343364203353383,0.06329456166316767,0.03033011262141617,1.4847809903984632,0.6899889668042083,0.794792023594255,0.041620264855524065,-0.001364283039352443,0.0017784738735483702,0.34,50,23,2.593012930882267e-16,14,-6.938893903907228e-18,-1.1102230246251565e-16
competing,4,0.005268672840670665,0.12658912332633537,0.06066022524283235,1.3114941952584775,0.5167021716642218,0.7947920235942556,0.04162026485552397,-0.001364283039352443,0.0017784738735483702,0.34,50,23,2.593012930882267e-16,14,1.3877787807814457e-17,1.1102230246251565e-16
initial,5,0.12368491525490925,0.12368491525490925,0.0,0.4180035906441912,0.4180035906441912,0.0,1.0,0.0001435825444327864,0.004040706708933146,0.34,50,22,2.593012930882267e-16,14,0.0,0.0
branch1,5,0.0006115090737943377,0.03217412393175058,0.01578130742897812,1.479916152872555,0.6873185508198124,0.7925976020527427,0.019006238525453016,-0.0003092090830887696,0.00040249492721484536,0.34,50,22,2.593012930882267e-16,14,6.938893903907228e-18,0.0
branch2,5,0.0006115090737943404,0.03217412393175059,0.015781307428978125,1.4799161528725542,0.6873185508198123,0.7925976020527419,0.019006238525453092,-0.0003092090830887707,0.00040249492721484645,0.34,50,22,2.593012930882267e-16,14,0.0,0.0
competing,5,0.001223018147588678,0.06434824786350117,0.031562614857956243,1.3412867167605655,0.5486891147078233,0.7925976020527423,0.01900623852545305,-0.0003092090830887707,0.00040249492721484645,0.34,50,22,2.593012930882267e-16,14,0.0,-1.1102230246251565e-16
initial,6,0.08257547016127453,0.08257547016127453,0.0,0.4156737689955147,0.4156737689955147,0.0,1.0,2.549323103976236e-05,0.0013469022363107339,0.34,50,22,2.593012930882267e-16,14,0.0,0.0
branch1,6,0.00014206265945059882,0.016357374923661013,0.008107656132105207,1.4765403889924356,0.685512736278512,0.7910276527139238,0.008684930198983492,-6.996412924362948e-05,9.103669360950039e-05,0.34,50,22,2.593012930882267e-16,14,0.0,-2.220446049250313e-16
branch2,6,0.00014206265945059616,0.01635737492366101,0.008107656132105207,1.476540388992439,0.685512736278512,0.7910276527139269,0.00868493019898333,-6.996412924362959e-05,9.103669360950065e-05,0.34,50,22,2.593012930882267e-16,14,0.0,0.0
competing,6,0.000284125318901195,0.03271474984732202,0.016215312264210413,1.361015858899113,0.5699882061851878,0.7910276527139253,0.008684930198983412,-6.996412924362959e-05,9.103669360950065e-05,0.34,50,22,2.593012930882267e-16,14,0.0,0.0
initial,7,0.05512963460489352,0.05512963460489352,0.0,0.4140096963262855,0.4140096963262855,0.0,1.0,4.528659863402453e-06,0.00044896741210357055,0.34,50,21,2.593012930882267e-16,14,0.0,0.0
branch1,7,3.3001498051813426e-05,0.008316081836700018,0.0041415401693241025,1.4741368002883772,0.6842234383088248,0.7899133619795525,0.003968395056692836,-1.5824213384627357e-05,2.0589778004814102e-05,0.34,50,21,2.593012930882267e-16,14,0.0,-1.1102230246251565e-16
branch2,7,3.300149805181342e-05,0.008316081836700014,0.004141540169324101,1.4741368002883772,0.6842234383088249,0.7899133619795524,0.003968395056692837,-1.5824213384627398e-05,2.05897780048142e-05,0.34,50,21,2.593012930882267e-16,14,0.0,-1.1102230246251565e-16
competing,7,6.600299610362684e-05,0.016632163673400032,0.008283080338648203,1.3751157744940996,0.5852024125145469,0.7899133619795525,0.003968395056692836,-1.5824213384627398e-05,2.05897780048142e-05,0.34,50,21,2.593012930882267e-16,14,0.0,2.220446049250313e-16
initial,8,0.036806051415886706,0.036806051415886706,0.0,0.4127616258346298,0.4127616258346298,0.0,1.0,8.044850769157225e-07,0.00014965580403451608,0.34,50,21,2.593012930882267e-16,14,0.0,0.0
branch1,8,7.666042561814595e-06,0.004227875136380541,0.0021101045469093635,1.472338754874688,0.6832569679949726,0.7890817868797154,0.0018132140412210583,-3.578977387074238e-06,4.656863679083998e-06,0.34,50,21,2.593012930882267e-16,14,0.0,0.0
branch2,8,7.666042561814537e-06,0.004227875136380538,0.0021101045469093613,1.472338754874689,0.6832569679949727,0.7890817868797163,0.0018132140412210462,-3.578977387074242e-06,4.65686367908401e-06,0.34,50,21,2.593012930882267e-16,14,8.673617379884035e-19,-1.1102230246251565e-16
competing,8,1.533208512362913e-05,0.008455750272761079,0.004220209093818724,1.3856953573046953,0.5966135704249795,0.7890817868797159,0.0018132140412210522,-3.578977387074242e-06,4.65686367908401e-06,0.34,50,21,2.593012930882267e-16,14,1.734723475976807e-18,-1.1102230246251565e-16
initial,9,0.024572725959779766,0.024572725959779766,0.0,0.41179090576991034,0.41179090576991034,0.0,1.0,1.42905558754695e-07,4.9885268011507926e-05,0.34,50,20,2.593012930882267e-16,14,0.0,0.0
branch1,9,1.7807729743664844e-06,0.002149440949733363,0.0010738300883794984,1.4709403369621932,0.6825052771149264,0.7884350598472669,0.0008284819243754467,-8.094717153396278e-07,1.0532660098587305e-06,0.34,50,20,2.593012930882267e-16,14,-4.336808689942018e-19,-1.1102230246251565e-16
branch2,9,1.780772974366515e-06,0.0021494409497333595,0.0010738300883794964,1.4709403369621912,0.6825052771149266,0.7884350598472648,0.0008284819243754623,-8.094717153396314e-07,1.0532660098587326e-06,0.34,50,20,2.593012930882267e-16,14,0.0,-2.220446049250313e-16
competing,9,3.5615459487329994e-06,0.0042988818994667225,0.0021476601767589946,1.3939239835666428,0.605488923719377,0.7884350598472658,0.0008284819243754545,-8.094717153396314e-07,1.0532660098587326e-06,0.34,50,20,2.593012930882267e-16,14,0.0,0.0
initial,4,0.16187056054415386,0.16187056054415386,0.0,0.4552395680285683,0.4552395680285683,0.0,1.0,0.000671324156629858,0.012050353352597541,0.36000000000000004,50,23,2.9369442326076685e-16,14,0.0,0.0
branch1,4,0.0038554686033079252,0.06868244416082407,0.03241348777875808,1.3895656805190029,0.6695654139803017,0.7200002665387011,0.056134702985818526,-0.001326427302528867,0.0017547790803499736,0.36000000000000004,50,23,2.9369442326076685e-16,14,0.0,1.1102230246251565e-16
branch2,4,0.0038554686033079382,0.06868244416082406,0.03241348777875806,1.389565680519002,0.6695654139803017,0.7200002665387002,0.05613470298581873,-0.0013264273025288633,0.0017547790803499781,0.36000000000000004,50,23,2.9369442326076685e-16,14,0.0,1.1102230246251565e-16
