time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.0,20,0.02,48,1e-10,1.0,0.0,0.0,0.0,1.0,-0.0,inf,inf,35.419820926613205,-0.0,-0.0,-inf,-35.419820926613205,0.0,1.0,1.0,0.0,1
0.02,20,0.02,48,1e-10,0.9647185508006008,1.1994495333656556e-61,1.1994495333656556e-61,2.3988990667313115e-61,0.9647185508006008,0.0017959438692417,7.013791397164167,7.013791397164167,6.979134038136169,0.0017959438692417,0.0017959438692417,-7.011995453294925,-6.977338094266927,0.0,0.9973090943058484,1.0000000000000002,3.200953565354696e-45,3
0.04,20,0.02,48,1e-10,0.8662894713218987,1.2832786272322186e-49,1.2832786272322186e-49,2.566557254464437e-49,0.8662894713218987,0.0071768081888272,5.6288625663058,5.6288625663058,5.594205207277803,0.0071768081888272,0.0071768081888272,-5.621685758116973,-5.587028399088975,0.0,0.9892772688057124,1.0000000000000024,7.521093639276078e-20,3
0.06,20,0.02,48,1e-10,0.7243954573180178,1.370399036338416e-42,1.3703990363383967e-42,2.7407980726768125e-42,0.7243954573180178,0.0161208911975275,4.819673597045985,4.819673597045986,4.785016238017988,0.0161208911975275,0.0161208911975275,-4.803552705848459,-4.768895346820461,1.4182526986991007e-14,0.9760258776295676,1.0000000000000009,7.535768727813173e-20,5
0.08,20,0.02,48,1e-10,0.5645161023258483,1.2991031900759787e-37,1.2991031900759787e-37,2.598206380151957e-37,0.5645161023258483,0.0285893185432088,4.246698713407926,4.246698713407926,4.212041354379929,0.0285893185432088,0.0285893185432088,-4.218109394864717,-4.18345203583672,0.0,0.9577528493699684,1.000000000000006,1.4167833447059461e-19,5
0.1,20,0.02,48,1e-10,0.4104762655354094,9.18731491850455e-34,9.18731491850442e-34,1.837462983700897e-33,0.4104762655354094,0.0445218585094476,3.803503472119309,3.80350347211931,3.7688461130913127,0.0445218585094476,0.0445218585094476,-3.758981613609862,-3.724324254581865,1.4150301437587642e-14,0.9347264473492576,1.0000000000000002,3.0059373506120134e-19,7
0.12,20,0.02,48,1e-10,0.278979571149782,1.2507316120650571e-30,1.2507316120650923e-30,2.5014632241301493e-30,0.278979571149782,0.0638308360763489,3.442691206003515,3.4426912060035137,3.408033846975517,0.0638308360763489,0.0638308360763489,-3.3788603699271658,-3.344203010899168,2.842971920533194e-14,0.9072770201462986,0.999999999999996,3.531678248872221e-19,9
0.14,20,0.02,48,1e-10,0.177664219106789,5.432862505234865e-28,5.432862505234865e-28,1.086572501046973e-27,0.177664219106789,0.0863929959856844,3.138995822196086,3.138995822196086,3.1043384631680886,0.0863929959856844,0.0863929959856844,-3.052602826210401,-3.017945467182404,0.0,0.8757871852687882,0.9999999999999996,3.535602261711788e-19,9
0.16,20,0.02,48,1e-10,0.1063749352951743,1.0177199146634424e-25,1.0177199146634424e-25,2.0354398293268848e-25,0.1063749352951743,0.1120392650179882,2.87735312887612,2.87735312887612,2.8426957698481226,0.1120392650179882,0.1120392650179882,-2.765313863858132,-2.7306565048301343,0.0,0.8406809577027462,1.0000000000000018,3.6087911319449763e-19,9
0.18,20,0.02,48,1e-10,0.0601536881617243,9.981930381965812e-24,9.981930381965673e-24,1.9963860763931487e-23,0.0601536881617243,0.1405426261184655,2.6480632867595637,2.648063286759564,2.613405927731566,0.1405426261184655,0.1405426261184655,-2.507520660641098,-2.4728633016131005,1.4131467231380921e-14,0.8024123674480942,1.0000000000000009,4.536061501595267e-19,9
0.2,20,0.02,48,1e-10,0.0323191092275366,5.8502564795445e-22,5.850256479544584e-22,1.1700512959089085e-21,0.0323191092275366,0.1716048303369121,2.4445193271464563,2.444519327146456,2.4098619681184585,0.1716048303369121,0.1716048303369121,-2.272914496809544,-2.2382571377815466,1.4306244191376506e-14,0.7614541047479458,1.0000000000000024,5.526386651317709e-19,10
0.22,20,0.02,48,1e-10,0.0166246216839842,2.2506731188342552e-20,2.2506731188342552e-20,4.5013462376685104e-20,0.0166246216839842,0.2048435224274854,2.2620236262239426,2.2620236262239426,2.2273662671959453,0.2048435224274854,0.2048435224274854,-2.057180103796457,-2.02252274476846,0.0,0.7182866903179086,1.000000000000001,5.774840590700549e-19,11
0.24,20,0.02,48,1e-10,0.0082656148240789,6.090270260621888e-19,6.090270260621975e-19,1.2180540521243865e-18,0.0082656148240789,0.2397825580798795,2.097121215418965,2.0971212154189645,2.062463856390967,0.2397825580798795,0.2397825580798795,-1.857338657339085,-1.822681298311088,1.4072262618519661e-14,0.6733885951380085,0.9999999999999952,6.864462390269739e-19,12
0.26,20,0.02,48,1e-10,0.0040179107805142,1.221317720424168e-17,1.2213177204245412e-17,2.442635440848709e-17,0.0040179107805142,0.2758496608892551,1.9472008103166103,1.9472008103165952,1.9125434512886053,0.2758496608892548,0.2758496608892551,-1.6713511494273476,-1.6366937903993504,3.055455429687954e-13,0.627227637357311,1.000000000000001,7.51399359342993e-19,13
0.28,20,0.02,48,1e-10,0.0019348391693638,1.8898287316860692e-16,1.889828731686499e-16,3.7796574633725687e-16,0.0019348391693642,0.3123865536281288,1.8102437640547384,1.8102437640547275,1.7755864050267356,0.312386553628119,0.3123865536281288,-1.4978572104266044,-1.4631998513986066,2.273659338056345e-13,0.5802538713978602,0.9999999999999972,8.625670536765256e-19,13
0.3,20,0.02,48,1e-10,0.0009363452296195,2.3293318689160475e-15,2.329331868916395e-15,4.658663737832442e-15,0.0009363452296241,0.3486763157213007,1.6846597459996169,1.684659745999609,1.6500023869716158,0.3486763157210519,0.3486763157213007,-1.3359834302783125,-1.3013260712503152,1.4918150281073322e-13,0.5328940661759685,1.000000000000007,9.61084233014383e-19,14
0.32,20,0.02,48,1e-10,0.0004620685813205,2.3459315531964242e-14,2.345931553196674e-14,4.691863106393098e-14,0.0004620685813674,0.3839898616741242,1.5691754364035793,1.569175436403574,1.534518077375579,0.3839898616690472,0.3839898616741242,-1.1851855747294524,-1.1505282157014551,1.0666410057665489e-13,0.4855477552749429,1.0000000000000122,9.66192683329866e-19,15
0.34,20,0.02,48,1e-10,0.0002356988440206,1.9708562856233126e-13,1.9708562856233825e-13,3.941712571246695e-13,0.0002356988444147,0.4176477826243215,1.462756904892912,1.46275690489291,1.4280995458649135,0.417647782540704,0.4176477826243215,-1.0451091222685895,-1.0104517632405925,3.5479314828211623e-14,0.4385847408700675,1.0000000000000044,1.0076991031987244e-18,15
