tau,delta_r,delta_s,delta_q
0.34000000000000002,-1.0591494311922851,-0.27071437134501547,-0.78843505984726958
0.35999999999999999,-0.93169437470418348,-0.21509666185759951,-0.71659771284658402
0.38,-0.81448783181371898,-0.16756435751457766,-0.64692347429914099
0.40000000000000002,-0.70711012650729077,-0.12790643677456504,-0.57920368973272551
0.41999999999999998,-0.6090255528584585,-0.095737363816802201,-0.51328818904165641
0.44,-0.51958994295428906,-0.070494134233129446,-0.4490958087211594
0.46000000000000002,-0.43808011805959568,-0.050465651163104197,-0.38761446689649148
0.47999999999999998,-0.36373243563754354,-0.031586675539196474,-0.3321457600983469
0.5,-0.29577998618961177,-0.01321087168711732,-0.28256911450249439
0.52000000000000002,-0.23348235260264971,0.0047677496384896934,-0.23825010224113941
0.54000000000000004,-0.17614610604525593,0.022207404447596391,-0.1983535104928521
0.56000000000000005,-0.12313725876518067,0.038507744165963254,-0.16164500293114389
0.57999999999999996,-0.07388836252906994,0.050766670687161675,-0.12465503321623161
0.59999999999999998,-0.027902810059335814,0.051705951769471903,-0.079608761828807703
0.62,0.015242616807562892,0.046326183964542356,-0.031083567156979401
0.6399999999999999,0.055898186466320832,0.038289182269456878,0.017609004196863995
0.65999999999999992,0.094347980215762739,0.028833116529466296,0.065514863686296304
0.67999999999999994,0.13082679982160261,0.019997374238599375,0.11082942558300331
0.69999999999999996,0.16554809345006638,0.013839686636884396,0.1517084068131819
