run_id,dtau,cap,cutoff,bond_a,bond_b,root,slope
dt002_chi48_c12,0.02,48,9.9999999999999998e-13,48,48,0.62746438227067003,1.8991957806624438
dt002_chi128,0.02,128,1e-14,75,79,0.62746438227514001,1.8991957805480908
dt001_chi48_c12,0.01,48,9.9999999999999998e-13,48,48,0.62710455600962067,1.8983697265773092
dt001_chi128,0.01,128,1e-14,72,76,0.62710455601996495,1.89836972623314
dt0005_chi48_c12,0.0050000000000000001,48,9.9999999999999998e-13,47,48,0.62701426827923024,1.8984886474215923
dt0005_chi48,0.0050000000000000001,48,1e-14,48,48,0.62701426829513884,1.8984886471107298
dt0005_chi64,0.0050000000000000001,64,1e-14,64,64,0.62701426829635554,1.8984886470385653
dt0005_chi96,0.0050000000000000001,96,1e-14,70,72,0.62701426829635498,1.8984886470485574
dt0005_chi128_c13,0.0050000000000000001,128,1e-13,58,61,0.62701426829431528,1.8984886470807538
dt0005_chi128,0.0050000000000000001,128,1e-14,70,72,0.62701426829635498,1.8984886470485574
dt0005_chi128_c15,0.0050000000000000001,128,1.0000000000000001e-15,85,88,0.62701426829654372,1.8984886470507778
dt00025_chi48_c12,0.0025000000000000001,48,9.9999999999999998e-13,44,48,0.62699164412732966,1.8984360880414108
dt00025_chi128,0.0025000000000000001,128,1e-14,65,70,0.62699164415102659,1.8984360875307082
dt00025_chi128,0.0025000000000000001,128,1.0000000000000001e-15,74,79,0.62699164415143627,1.898436087559574
dt000125_chi128,0.00125,128,1.0000000000000001e-15,72,74,0.62698598101275871,1.8984472269367725
dt000125_chi256,0.00125,256,1.0000000000000001e-15,72,74,0.62698598101275871,1.8984472269367725
